bookID,title,authors,average_rating,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,Amazon,Kinokuniya,Thryft
93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,978-0753454947,eng,352,153317,2257,11/15/2002,44.41,Price not found,Price not found
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,978-0871209993,eng,192,55,5,11/15/2004,43.87,Price not found,Price not found
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,978-1852402877,eng,192,34,6,4/28/2003,Price not found,Price not found,Price not found
98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,978-0761129585,eng,832,11797,659,10/16/2003,26.28,Price not found,Price not found
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,978-0972016414,eng,123,34,8,2004-10-05 00:00:00,Price not found,Price not found,Price not found
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,978-1581805635,en-US,128,78,4,8/19/2004,Price not found,Price not found,Price not found
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,978-0441294671,eng,423,2785,166,6/15/1987,Price not found,Price not found,Price not found
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,978-0441102679,eng,436,38778,568,1987-01-07 00:00:00,Price not found,Price not found,Price not found
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,978-0441172696,eng,331,97494,2359,7/15/1987,Price not found,Price not found,Price not found
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,978-0765306470,en-US,592,784,21,2004-01-07 00:00:00,30.24,Price not found,Price not found
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,978-0399128981,eng,480,272,20,4/16/1984,Price not found,Price not found,Price not found
110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,978-0765353702,eng,426,4789,83,8/29/2006,Price not found,Price not found,Price not found
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,978-0441328000,eng,471,45388,644,8/15/1987,Price not found,Price not found,Price not found
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,978-0618212903,eng,192,26153,102,2002-12-06 00:00:00,125.48,Price not found,8.90
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,978-0345410054,eng,544,69167,4551,9/29/1996,22.81,Price not found,Price not found
123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,978-0385732543,eng,291,45,13,9/13/2005,97.61,Price not found,Price not found
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,978-0785260059,en-US,256,16,1,2004-01-11 00:00:00,36.60,Price not found,3.90
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,978-0471780939,eng,205,174,16,5/19/2006,48.49,Price not found,Price not found
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,978-0325001531,eng,240,10,0,2000-07-02 00:00:00,Price not found,Price not found,Price not found
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,978-0060762872,eng,336,76,9,2005-03-05 00:00:00,26.64,Price not found,Price not found
133,eBay for Dummies,Marsha Collier,3.5,978-0470045299,eng,386,111,9,10/30/2006,70.39,Price not found,Price not found
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,978-0072262780,eng,260,24,0,1/24/2006,42.67,Price not found,Price not found
137,Starting an eBay Business for Dummies,Marsha Collier,3.55,978-0764569241,eng,384,55,4,9/17/2004,Price not found,Price not found,Price not found
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,978-0471933823,eng,260,9,0,2006-06-06 00:00:00,35.91,Price not found,Price not found
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,978-0764559914,en-US,391,22,1,5/31/2004,Price not found,Price not found,Price not found
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,978-0764584381,en-US,864,17,3,4/25/2005,Price not found,Price not found,Price not found
141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,978-0596523695,eng,873,166,4,7/29/2006,47.87,Price not found,Price not found
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,978-0806523491,eng,240,50,5,2005-03-05 00:00:00,36.48,Price not found,Price not found
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,978-0806525365,eng,206,13,2,2005-03-05 00:00:00,Price not found,Price not found,Price not found
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,978-0596527310,eng,514,64,1,2007-01-01 00:00:00,54.88,Price not found,Price not found
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,978-0143035008,eng,838,16643,1851,5/31/2004,23.59,Price not found,11.90
152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,978-0451528612,eng,960,109420,5696,2002-05-11 00:00:00,21.82,Price not found,7.54
153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,978-0140449174,eng,837,2904,309,1/30/2003,22.84,Price not found,Price not found
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,978-0822001836,eng,80,16,3,11/26/1965,17.82,Price not found,Price not found
155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,978-1593080273,eng,803,9564,726,2003-01-07 00:00:00,29.44,Price not found,Price not found
156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,978-0486437965,eng,752,474,72,11/23/2004,71.36,Price not found,Price not found
157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,978-1593081775,eng,803,303,48,8/26/2004,34.35,Price not found,Price not found
159,Dinner with Anna Karenina,Gloria Goldreich,2.99,978-0778322276,eng,360,411,65,1/28/2006,Price not found,Price not found,Price not found
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,978-0521313254,eng,128,1204,33,11/26/1987,57.90,Price not found,Price not found
162,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,978-0140183955,eng,160,3429,279,1990-03-07 00:00:00,Price not found,Price not found,4.46
163,The Untouchable,John Banville,3.95,978-0679767473,eng,367,2163,216,6/30/1998,Price not found,Price not found,8.32
